"Power_Ranking","Celebrity_Name","Pay"
1,"Tom Cruise",67
2,"Rolling Stones",90
3,"Oprah Winfey",225
4,"U2",110
5,"Tiger Woods",90
6,"Steven Speilberg",332
7,"Howard Stern",302
8,"50 Cent",41
9,"Cast of the Sopranos",52
10,"Dan Brown",88
11,"Bruce Springteen",55
12,"Donald Trump",44
13,"Muhammad Ali",55
14,"Paul McCartney",40
15,"Goerge Lucas",223
16,"Elton John",34
17,"David Letterman",40
18,"Phil Mickelson",47
15,"J.K Rowling",90
20,"Brad Pitt",25
21,"Peter Jackson",39
22,"Dr. Phil McGraw",45
23,"Jay Lemon",32
24,"Celin Dion",40
25,"Kobe Bryant",31
